41.887848, -87.6249, 0.0, 1310486541, 50, Chicago/Meigs, IL
41.887848, -87.6249, 0.0, 1310486554, 50, Chicago/Meigs, IL
41.887848, -87.6249, 0.0, 1310486562, 50, Chicago/Meigs, IL
41.887848, -87.6249, 0.0, 1310486760, 50, Chicago/Meigs, IL
41.893414, -87.61848, 0.0, 1310487219, 50, Chicago/Meigs, IL
41.893414, -87.61848, 0.0, 1310487261, 50, Chicago/Meigs, IL
41.893414, -87.61848, 0.0, 1310487987, 50, Chicago/Meigs, IL
41.89689, -87.61746, 0.0, 1310488799, 50, Chicago, IL
41.89689, -87.61746, 0.0, 1310489241, 50, Chicago, IL
41.89828, -87.62385, 0.0, 1310490596, 50, Chicago, IL
41.897327, -87.62243, 0.0, 1310491541, 50, Chicago, IL
41.897327, -87.62243, 0.0, 1310491556, 50, Chicago, IL
41.897327, -87.62243, 0.0, 1310491614, 50, Chicago, IL
41.897327, -87.62243, 0.0, 1310491702, 50, Chicago, IL
41.897327, -87.62243, 0.0, 1310491878, 50, Chicago, IL
41.897327, -87.62243, 0.0, 1310491921, 50, Chicago, IL
41.897327, -87.62243, 0.0, 1310492156, 50, Chicago, IL
41.890347, -87.63723, 0.0, 1310495343, 50, Chicago, IL
41.890347, -87.63723, 0.0, 1310495442, 50, Chicago, IL
41.890347, -87.63723, 0.0, 1310495640, 50, Chicago, IL
41.88646, -87.63673, 0.0, 1310496412, 50, Chicago, IL
41.88646, -87.63673, 0.0, 1310496434, 50, Chicago, IL
41.88646, -87.63673, 0.0, 1310496448, 50, Chicago, IL
41.88646, -87.63673, 0.0, 1310496483, 50, Chicago, IL
41.88646, -87.63673, 0.0, 1310496597, 50, Chicago, IL
41.88646, -87.63673, 0.0, 1310496684, 50, Chicago, IL
41.88255, -87.63858, 0.0, 1310496987, 50, Chicago/Meigs, IL
41.88255, -87.63858, 0.0, 1310497272, 50, Chicago/Meigs, IL
41.88255, -87.63858, 0.0, 1310497282, 50, Chicago/Meigs, IL
41.883698, -87.63751, 0.0, 1310498739, 50, Chicago, IL
41.883698, -87.63751, 0.0, 1310498757, 50, Chicago, IL
41.87755, -87.6553, 0.0, 1310499266, 50, Chicago, IL
41.87755, -87.6553, 0.0, 1310499758, 50, Chicago, IL
41.87755, -87.6553, 0.0, 1310500487, 50, Chicago, IL
41.879257, -87.65372, 0.0, 1310501348, 50, Chicago, IL
41.87168, -87.65435, 0.0, 1310501757, 50, Chicago/Meigs, IL
41.87378, -87.65266, 0.0, 1310510281, 50, Chicago/Meigs, IL
41.87378, -87.65266, 0.0, 1310510336, 50, Chicago/Meigs, IL
41.87378, -87.65266, 0.0, 1310510342, 50, Chicago/Meigs, IL
35.142773, -90.0482, 0.0, 1310567046, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310567061, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310567067, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310567080, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310567760, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310567768, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310567780, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310568328, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310568341, 50, Memphis Intl, TN
35.142773, -90.0482, 0.0, 1310568357, 50, Memphis Intl, TN
34.436756, -90.21904, 0.0, 1310648519, 50, Oxford, MS
34.436756, -90.21904, 0.0, 1310648530, 50, Oxford, MS
34.436756, -90.21904, 0.0, 1310648584, 50, Oxford, MS
32.822987, -90.444595, 0.0, 1310656193, 50, Jackson, MS
32.822987, -90.444595, 0.0, 1310656311, 50, Jackson, MS
32.74122, -90.48757, 0.0, 1310656390, 50, Jackson, MS
32.74122, -90.48757, 0.0, 1310656436, 50, Jackson, MS
32.74122, -90.48757, 0.0, 1310656444, 50, Jackson, MS
31.835918, -90.39678, 0.0, 1310662770, 50, Jackson, MS
31.835918, -90.39678, 0.0, 1310662781, 50, Jackson, MS
31.793922, -90.41876, 0.0, 1310662798, 50, Jackson, MS
31.793922, -90.41876, 0.0, 1310662951, 50, Jackson, MS
31.657429, -90.44716, 0.0, 1310663252, 50, Mccomb, MS
31.657429, -90.44716, 0.0, 1310663305, 50, Mccomb, MS
31.657429, -90.44716, 0.0, 1310663310, 50, Mccomb, MS
31.590496, -90.43763, 0.0, 1310663823, 50, Mccomb, MS
31.590496, -90.43763, 0.0, 1310663874, 50, Mccomb, MS
31.244131, -90.45154, 0.0, 1310665626, 50, Mccomb, MS
31.243109, -90.451866, 0.0, 1310665868, 50, Mccomb, MS
30.506117, -90.461815, 0.0, 1310668927, 50, New Orleans, LA
30.506117, -90.461815, 0.0, 1310668944, 50, New Orleans, LA
30.199778, -90.430405, 0.0, 1310670301, 50, New Orleans, LA
30.062366, -90.38469, 0.0, 1310670913, 50, New Orleans, LA
30.062366, -90.38469, 0.0, 1310670929, 50, New Orleans, LA
29.968395, -90.09208, 0.0, 1310735958, 50, New Orleans, LA
29.968395, -90.09208, 0.0, 1310736141, 50, New Orleans, LA
29.968395, -90.09208, 0.0, 1310736152, 50, New Orleans, LA
29.968395, -90.09208, 0.0, 1310736223, 50, New Orleans, LA
29.958076, -90.067566, 0.0, 1310751844, 50, New Orleans, LA
29.958076, -90.067566, 0.0, 1310751860, 50, New Orleans, LA
29.958076, -90.067566, 0.0, 1310751866, 50, New Orleans, LA
29.958076, -90.067566, 0.0, 1310751871, 50, New Orleans, LA
29.928371, -90.07708, 0.0, 1310766264, 50, New Orleans, LA
29.928371, -90.07708, 0.0, 1310766306, 50, New Orleans, LA
32.09406, -88.87339, 0.0, 1310832445, 50, Meridian/Key, MS
32.09406, -88.87339, 0.0, 1310834837, 50, Meridian/Key, MS
33.192204, -87.5695, 0.0, 1310837472, 50, Tuscaloosa, AL
33.196228, -87.4872, 0.0, 1310840402, 50, Tuscaloosa, AL
33.196228, -87.4872, 0.0, 1310840404, 50, Tuscaloosa, AL
33.196228, -87.4872, 0.0, 1310840477, 50, Tuscaloosa, AL
33.603085, -85.9683, 0.0, 1310849944, 50, Anniston, AL
33.60458, -85.96266, 0.0, 1310850008, 50, Anniston, AL
33.60458, -85.96266, 0.0, 1310850021, 50, Anniston, AL
33.60458, -85.96266, 0.0, 1310850041, 50, Anniston, AL
33.60458, -85.96266, 0.0, 1310850149, 50, Anniston, AL
33.63836, -85.90924, 0.0, 1310850278, 50, Anniston, AL
40.718246, -74.02357, 0.0, 1311001807, 50, New York, NY
40.718246, -74.02357, 0.0, 1311001828, 50, New York, NY
40.718246, -74.02357, 0.0, 1311002049, 50, New York, NY
40.706554, -74.013115, 0.0, 1311002921, 50, New York, NY
40.706554, -74.013115, 0.0, 1311002935, 50, New York, NY
40.706554, -74.013115, 0.0, 1311002952, 50, New York, NY
40.706554, -74.013115, 0.0, 1311003028, 50, New York, NY
40.706554, -74.013115, 0.0, 1311003051, 50, New York, NY
40.706554, -74.013115, 0.0, 1311003874, 50, New York, NY
