34.056355, -118.236946, 0.0, 1310067313, 0, Hawthorne, CA
34.04701, -118.23791, 0.0, 1310067619, 0, Hawthorne, CA
34.04701, -118.23791, 0.0, 1310067729, 0, Hawthorne, CA
34.05617, -118.23594, 0.0, 1310067798, 0, Hawthorne, CA
34.05632, -118.23503, 0.0, 1310067980, 0, Hawthorne, CA
34.05623, -118.23467, 0.0, 1310068159, 0, Hawthorne, CA
34.064545, -118.23755, 0.0, 1310068341, 0, Hawthorne, CA
34.063633, -118.23581, 0.0, 1310068524, 0, Hawthorne, CA
34.063305, -118.23626, 0.0, 1310068704, 0, Hawthorne, CA
34.064583, -118.23707, 0.0, 1310068884, 0, Hawthorne, CA
34.064583, -118.23707, 0.0, 1310068937, 0, Hawthorne, CA
34.061302, -118.23951, 0.0, 1310073829, 0, Hawthorne, CA
34.062344, -118.23885, 0.0, 1310074037, 0, Hawthorne, CA
34.062344, -118.23885, 0.0, 1310074235, 0, Hawthorne, CA
34.055428, -118.23935, 0.0, 1310075921, 0, Hawthorne, CA
34.057247, -118.23865, 0.0, 1310076105, 0, Hawthorne, CA
34.057137, -118.23874, 0.0, 1310076281, 0, Hawthorne, CA
34.061302, -118.23951, 0.0, 1310076471, 0, Hawthorne, CA
34.061302, -118.23951, 0.0, 1310076515, 0, Hawthorne, CA
34.05585, -118.23608, 0.0, 1310079023, 0, Hawthorne, CA
34.055923, -118.236, 0.0, 1310079040, 0, Hawthorne, CA
34.05565, -118.23581, 0.0, 1310079053, 0, Hawthorne, CA
34.055687, -118.23586, 0.0, 1310079068, 0, Hawthorne, CA
34.05574, -118.23587, 0.0, 1310079083, 0, Hawthorne, CA
34.055786, -118.23587, 0.0, 1310079098, 0, Hawthorne, CA
34.05279, -118.234146, 0.0, 1310079293, 0, Hawthorne, CA
34.056076, -118.23586, 0.0, 1310079473, 0, Hawthorne, CA
34.05279, -118.234146, 0.0, 1310079670, 0, Hawthorne, CA
34.05279, -118.234146, 0.0, 1310079687, 0, Hawthorne, CA
34.055058, -118.23417, 0.0, 1310086895, 0, Hawthorne, CA
34.05504, -118.23427, 0.0, 1310086910, 0, Hawthorne, CA
34.055084, -118.23427, 0.0, 1310086925, 0, Hawthorne, CA
34.05511, -118.23422, 0.0, 1310086940, 0, Hawthorne, CA
34.05511, -118.23422, 0.0, 1310086955, 0, Hawthorne, CA
34.05511, -118.23422, 0.0, 1310086969, 0, Hawthorne, CA
34.05511, -118.23422, 0.0, 1310087011, 0, Hawthorne, CA
34.05445, -118.23401, 0.0, 1310087199, 0, Hawthorne, CA
34.05445, -118.23401, 0.0, 1310087382, 0, Hawthorne, CA
34.05445, -118.23401, 0.0, 1310087561, 0, Hawthorne, CA
34.05445, -118.23401, 0.0, 1310087741, 0, Hawthorne, CA
34.05445, -118.23401, 0.0, 1310087794, 0, Hawthorne, CA
34.02975, -118.23056, 0.0, 1310088103, 0, Hawthorne, CA
34.027073, -118.22662, 0.0, 1310088284, 0, Hawthorne, CA
34.01392, -118.20076, 0.0, 1310088577, 0, Hawthorne, CA
34.01392, -118.20076, 0.0, 1310088700, 0, Hawthorne, CA
33.972786, -118.0896, 0.0, 1310089064, 0, El Monte, CA
33.984966, -118.12715, 0.0, 1310089066, 0, El Monte, CA
33.91444, -118.06569, 0.0, 1310089375, 0, Fullerton, CA
33.91444, -118.06569, 0.0, 1310089472, 0, Fullerton, CA
33.914333, -118.0596, 0.0, 1310089560, 0, Fullerton, CA
33.914333, -118.0596, 0.0, 1310089743, 0, Fullerton, CA
33.90622, -118.0467, 0.0, 1310089924, 0, Fullerton, CA
33.900703, -118.03379, 0.0, 1310090112, 0, Fullerton, CA
33.87341, -117.97634, 0.0, 1310090493, 0, Fullerton, CA
33.869198, -117.92554, 0.0, 1310090678, 0, Fullerton, CA
33.868797, -117.92322, 0.0, 1310090861, 0, Fullerton, CA
33.868546, -117.92323, 0.0, 1310091042, 0, Fullerton, CA
33.868546, -117.92323, 0.0, 1310091225, 0, Fullerton, CA
33.868546, -117.92323, 0.0, 1310091275, 0, Fullerton, CA
33.865444, -117.852615, 0.0, 1310091570, 0, Fullerton, CA
33.851048, -117.779305, 0.0, 1310091873, 0, Tustin Mcas, CA
33.882744, -117.73664, 0.0, 1310092092, 0, Chino, CA
33.880363, -117.64901, 0.0, 1310092428, 0, Chino, CA
33.880363, -117.64901, 0.0, 1310092479, 0, Chino, CA
33.883904, -117.60305, 0.0, 1310092794, 0, Chino, CA
33.89088, -117.52126, 0.0, 1310093102, 0, Riverside, CA
33.887897, -117.49867, 0.0, 1310093197, 0, Riverside, CA
33.934868, -117.40943, 0.0, 1310093546, 0, Riverside, CA
33.96899, -117.374954, 0.0, 1310093894, 0, Riverside, CA
33.97666, -117.371666, 0.0, 1310094081, 0, Riverside, CA
34.025356, -117.33481, 0.0, 1310094410, 0, Norton AFB, CA
34.06116, -117.32656, 0.0, 1310094495, 0, Norton AFB, CA
34.086445, -117.31037, 0.0, 1310094811, 0, Norton AFB, CA
34.10135, -117.32434, 0.0, 1310095035, 0, Norton AFB, CA
34.104317, -117.31006, 0.0, 1310095226, 0, Norton AFB, CA
34.104317, -117.31006, 0.0, 1310095408, 0, Norton AFB, CA
34.12365, -117.302284, 0.0, 1310095638, 0, Norton AFB, CA
34.1934, -117.38464, 0.0, 1310095997, 0, Norton AFB, CA
34.23702, -117.426125, 0.0, 1310096296, 0, Norton AFB, CA
34.241634, -117.42718, 0.0, 1310096486, 0, Norton AFB, CA
34.27086, -117.44824, 0.0, 1310096888, 0, Norton AFB, CA
34.318905, -117.482285, 0.0, 1310097175, 0, George AFB, CA
34.329613, -117.459305, 0.0, 1310097534, 0, George AFB, CA
34.313576, -117.48854, 0.0, 1310097534, 0, George AFB, CA
34.297363, -117.34144, 0.0, 1310097916, 0, Norton AFB, CA
34.240982, -117.27395, 0.0, 1310098130, 0, Norton AFB, CA
34.386456, -117.29038, 0.0, 1310098242, 0, George AFB, CA
34.441383, -117.29159, 0.0, 1310098424, 0, George AFB, CA
34.48081, -117.286644, 0.0, 1310098616, 0, George AFB, CA
34.48081, -117.286644, 0.0, 1310098650, 0, George AFB, CA
34.15686, -117.30375, 0.0, 1310098872, 0, Norton AFB, CA
34.536205, -117.29292, 0.0, 1310099154, 0, George AFB, CA
34.548496, -117.29634, 0.0, 1310099344, 0, George AFB, CA
34.733055, -117.345955, 0.0, 1310099753, 0, George AFB, CA
34.736916, -117.347786, 0.0, 1310099943, 0, George AFB, CA
34.634872, -117.2249, 0.0, 1310100186, 0, George AFB, CA
34.75617, -117.34133, 0.0, 1310100312, 0, George AFB, CA
34.835033, -117.18286, 0.0, 1310100502, 0, George AFB, CA
34.85932, -117.090485, 0.0, 1310100690, 0, Daggett, CA
34.85932, -117.090485, 0.0, 1310100722, 0, Daggett, CA
34.893986, -117.07482, 0.0, 1310101005, 0, Daggett, CA
34.880604, -117.0545, 0.0, 1310101199, 0, Daggett, CA
34.90453, -117.02462, 0.0, 1310101545, 0, Daggett, CA
34.90454, -117.02485, 0.0, 1310101723, 0, Daggett, CA
34.91006, -116.9697, 0.0, 1310102034, 0, Daggett, CA
34.91006, -116.9697, 0.0, 1310102139, 0, Daggett, CA
34.892277, -117.005356, 0.0, 1310102223, 0, Daggett, CA
34.91494, -116.78471, 0.0, 1310102413, 0, Daggett, CA
34.917313, -116.775536, 0.0, 1310102738, 0, Daggett, CA
34.926476, -116.74695, 0.0, 1310102924, 0, Daggett, CA
34.852238, -116.64581, 0.0, 1310103305, 0, Daggett, CA
34.82905, -116.65833, 0.0, 1310103494, 0, Daggett, CA
34.852238, -116.64581, 0.0, 1310103684, 0, Daggett, CA
34.82905, -116.65833, 0.0, 1310103874, 0, Daggett, CA
34.817024, -116.61589, 0.0, 1310104064, 0, Daggett, CA
34.852238, -116.64581, 0.0, 1310104254, 0, Daggett, CA
34.82905, -116.65833, 0.0, 1310104444, 0, Daggett, CA
34.814293, -116.5477, 0.0, 1310104769, 0, Daggett, CA
34.81364, -116.543144, 0.0, 1310104961, 0, Daggett, CA
34.784634, -116.42227, 0.0, 1310105271, 0, Daggett, CA
34.852238, -116.64581, 0.0, 1310105651, 0, Daggett, CA
34.852238, -116.64581, 0.0, 1310105675, 0, Daggett, CA
34.784634, -116.42227, 0.0, 1310105841, 0, Daggett, CA
34.09976, -116.943115, 0.0, 1310106198, 0, Beaumont, CA
34.724014, -116.166176, 0.0, 1310106388, 0, Twenty9 Palm, CA
34.726402, -116.135254, 0.0, 1310106958, 0, Twenty9 Palm, CA
34.726402, -116.135254, 0.0, 1310106972, 0, Twenty9 Palm, CA
34.564777, -115.794525, 0.0, 1310107535, 0, Twenty9 Palm, CA
34.564777, -115.794525, 0.0, 1310107542, 0, Twenty9 Palm, CA
34.559982, -115.65612, 0.0, 1310109244, 0, Twenty9 Palm, CA
34.559982, -115.65612, 0.0, 1310109457, 0, Twenty9 Palm, CA
34.81733, -115.14781, 0.0, 1310109829, 0, Needles, CA
34.81733, -115.14781, 0.0, 1310109843, 0, Needles, CA
34.76498, -115.47795, 0.0, 1310110136, 0, Needles, CA
34.78134, -115.43683, 0.0, 1310110325, 0, Needles, CA
34.81733, -115.14781, 0.0, 1310110516, 0, Needles, CA
34.81733, -115.14781, 0.0, 1310110546, 0, Needles, CA
34.855915, -114.914894, 0.0, 1310111954, 0, Needles, CA
35.023743, -114.82765, 0.0, 1310112316, 0, Needles, CA
34.87829, -114.65102, 0.0, 1310112695, 0, Needles, CA
34.880775, -114.7677, 0.0, 1310112695, 0, Needles, CA
34.880775, -114.7677, 0.0, 1310112720, 0, Needles, CA
35.086975, -114.55209, 0.0, 1310112884, 0, Needles, CA
35.013447, -114.58862, 0.0, 1310113076, 0, Needles, CA
35.09424, -114.60584, 0.0, 1310113291, 0, Needles, CA
35.013447, -114.58862, 0.0, 1310113412, 0, Needles, CA
34.94588, -114.58208, 0.0, 1310113604, 0, Needles, CA
34.84028, -114.60099, 0.0, 1310114174, 0, Needles, CA
34.7804, -114.48531, 0.0, 1310114364, 0, Needles, CA
34.724697, -114.50403, 0.0, 1310114553, 0, Needles, CA
34.724697, -114.50403, 0.0, 1310114568, 0, Needles, CA
34.732136, -114.27969, 0.0, 1310115023, 0, Needles, CA
34.788715, -114.17237, 0.0, 1310115457, 0, Needles, CA
34.83359, -114.146286, 0.0, 1310115617, 0, Needles, CA
34.876644, -114.145874, 0.0, 1310115954, 0, Needles, CA
35.031918, -114.13226, 0.0, 1310116354, 0, Kingman, AZ
34.995506, -114.13738, 0.0, 1310116355, 0, Kingman, AZ
35.15507, -114.08455, 0.0, 1310116767, 0, Kingman, AZ
35.15507, -114.08455, 0.0, 1310117025, 0, Kingman, AZ
35.18933, -114.05776, 0.0, 1310117115, 0, Kingman, AZ
35.188408, -114.05329, 0.0, 1310117298, 0, Kingman, AZ
35.188408, -114.05329, 0.0, 1310117479, 0, Kingman, AZ
35.188408, -114.05329, 0.0, 1310117659, 0, Kingman, AZ
35.188408, -114.05329, 0.0, 1310117712, 0, Kingman, AZ
35.23397, -114.02594, 0.0, 1310118245, 0, Kingman, AZ
35.26025, -113.94478, 0.0, 1310118527, 0, Kingman, AZ
35.306408, -114.04671, 0.0, 1310118749, 0, Kingman, AZ
35.306408, -114.04671, 0.0, 1310118978, 0, Kingman, AZ
35.31937, -112.90463, 0.0, 1310123269, 0, Prescott, AZ
35.288345, -113.087234, 0.0, 1310123458, 0, Kingman, AZ
35.292904, -113.04147, 0.0, 1310123806, 0, Kingman, AZ
35.257782, -112.17098, 0.0, 1310125703, 0, Flagstaff, AZ
35.259052, -112.08305, 0.0, 1310126066, 0, Flagstaff, AZ
